FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
GTEX-OIZH-0003-SM-2BWZ6	GTEX-OIZH-0003-SM-2BWZ6	-0.0123	-0.0178	-0.1342	0.0134	-0.0367	0.0018	-0.0207	-0.0348	-0.0565	0.0150	-0.0349	-0.0637	-0.0087	-0.0009	-0.0172	-0.0333	-0.0272	-0.0262	-0.0065	-0.0048
GTEX-OIZI-1026-SM-2VCU2	GTEX-OIZI-1026-SM-2VCU2	-0.0217	-0.0005	0.0150	0.0737	0.0777	-0.0035	0.0214	0.0060	0.0148	-0.0031	0.0231	0.0130	-0.0016	0.0104	0.0102	-0.0224	0.0076	-0.0116	-0.0178	-0.0138
GTEX-OOBJ-0003-SM-2BWZC	GTEX-OOBJ-0003-SM-2BWZC	0.1290	0.0191	0.0122	0.0026	-0.1570	0.0599	0.0618	0.0523	-0.2136	-0.1098	0.0315	0.0721	0.0179	0.0106	-0.1094	-0.1470	0.1888	-0.0681	0.0939	0.0308
GTEX-OOBK-0004-SM-2BWYT	GTEX-OOBK-0004-SM-2BWYT	-0.0217	0.0106	0.0396	-0.0258	-0.0420	0.0146	0.0299	0.0033	-0.0136	0.0232	0.0242	-0.0263	-0.0292	-0.0063	0.0010	-0.0487	-0.0367	-0.0141	-0.0124	-0.0099
GTEX-OXRK-0004-SM-2H2WZ	GTEX-OXRK-0004-SM-2H2WZ	-0.0214	0.0048	0.0019	-0.0128	-0.0142	0.0177	-0.0513	-0.0003	-0.0087	0.0059	-0.0193	0.0003	-0.0198	-0.0048	0.0182	0.0111	-0.0105	0.0062	-0.0097	-0.0037
GTEX-OXRL-0003-SM-2H2X2	GTEX-OXRL-0003-SM-2H2X2	-0.0229	0.0046	0.0273	-0.0312	-0.0288	-0.0381	0.0226	-0.0193	0.0302	-0.0306	0.0085	0.0309	0.0268	-0.0105	-0.0413	-0.0079	-0.0161	-0.0085	-0.0318	0.0647
GTEX-OXRN-0003-SM-2H2X4	GTEX-OXRN-0003-SM-2H2X4	-0.0220	-0.0004	0.0312	0.0391	-0.0051	0.0078	0.0111	0.0082	-0.0049	0.0116	-0.0214	-0.0354	0.0099	0.0103	0.0205	-0.0176	0.0170	-0.0301	-0.0347	-0.0021
GTEX-OXRO-0003-SM-2H2X6	GTEX-OXRO-0003-SM-2H2X6	-0.0165	0.0051	-0.0917	-0.0169	-0.0123	-0.0409	0.0033	-0.0057	-0.0501	0.0160	0.0189	0.0021	0.0224	-0.0181	-0.0066	-0.0228	0.0251	0.0157	-0.0185	-0.0391
GTEX-OXRP-0003-SM-2H2X8	GTEX-OXRP-0003-SM-2H2X8	-0.0136	-0.0036	-0.1272	0.0060	-0.0296	-0.0208	-0.0362	-0.0003	0.0279	-0.0182	-0.0570	0.0786	0.0614	-0.0001	0.0037	0.0327	0.0395	-0.0503	-0.0001	-0.0276
GTEX-P4PP-0004-SM-2H2WW	GTEX-P4PP-0004-SM-2H2WW	-0.0195	0.0050	-0.0127	-0.0005	-0.0016	-0.0097	-0.0244	-0.0148	0.0161	0.0285	-0.0255	0.0325	0.0041	-0.0226	-0.0105	0.0513	-0.0011	-0.0049	-0.0147	0.0244
GTEX-P4PQ-0003-SM-2H2WY	GTEX-P4PQ-0003-SM-2H2WY	-0.0203	0.0071	0.0094	-0.0312	-0.0350	-0.0289	-0.0170	-0.0033	-0.0243	0.0472	-0.0464	-0.0036	0.0036	-0.0227	0.0547	-0.0340	-0.0053	0.0064	-0.0065	-0.0255
GTEX-P4QR-0004-SM-2H2X5	GTEX-P4QR-0004-SM-2H2X5	-0.0160	-0.0575	0.0134	-0.0701	0.1177	0.0569	-0.0275	-0.0228	-0.0134	-0.0342	0.0513	0.0154	0.0275	0.0177	-0.0306	0.0028	-0.0152	0.0372	-0.0135	0.0437
GTEX-P4QS-0003-SM-2H2X1	GTEX-P4QS-0003-SM-2H2X1	0.1074	-0.0029	0.0360	-0.0290	0.0504	0.1180	0.0310	-0.0576	0.0414	-0.1975	0.1839	-0.1172	-0.1931	0.0015	-0.1047	0.0004	-0.0051	0.0161	-0.0393	-0.2132
GTEX-P4QT-0003-SM-2H2X3	GTEX-P4QT-0003-SM-2H2X3	-0.0150	-0.0083	-0.1511	0.1460	0.0429	-0.0001	-0.0387	-0.0394	0.0008	0.0031	-0.0289	-0.0106	0.0169	0.0174	0.0628	-0.0327	0.0175	0.0195	-0.0790	0.0007
