FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
GTEX-12WSH-0001-SM-5DWRM	GTEX-12WSH-0001-SM-5DWRM	-0.0210	0.0071	-0.0196	-0.0065	0.0281	-0.0058	-0.0299	0.0342	-0.0209	-0.0014	-0.0269	-0.0264	-0.0430	0.0032	0.0253	-0.0013	-0.0287	-0.0397	-0.0209	-0.0090
GTEX-12WSI-0004-SM-5DWRW	GTEX-12WSI-0004-SM-5DWRW	-0.0223	0.0093	0.0271	-0.0648	-0.0605	-0.0018	-0.0115	-0.0073	-0.0248	-0.0093	-0.0052	-0.0289	0.0028	-0.0279	0.0156	0.0159	-0.0620	0.0586	-0.0200	-0.0390
GTEX-12WSJ-0003-SM-5DWRN	GTEX-12WSJ-0003-SM-5DWRN	-0.0204	0.0102	-0.0159	0.0128	-0.0001	0.0379	0.0039	0.0301	0.0001	-0.0026	-0.0220	-0.0042	0.0212	-0.0283	-0.0797	-0.0178	0.0190	0.0111	0.0352	0.0214
GTEX-12WSK-0003-SM-5DWRQ	GTEX-12WSK-0003-SM-5DWRQ	-0.0204	0.0023	0.0325	-0.0176	-0.0019	0.0048	0.0433	-0.0268	-0.0198	-0.0283	-0.0476	-0.0019	0.0178	0.0236	0.0477	-0.0422	0.0289	-0.0326	-0.0104	0.0070
GTEX-12WSL-0003-SM-5DWRL	GTEX-12WSL-0003-SM-5DWRL	-0.0207	0.0115	0.0144	-0.0262	-0.0181	-0.0282	-0.0286	0.0067	0.0306	-0.0410	-0.0011	-0.0072	0.0101	-0.0247	0.0295	-0.0148	0.0722	-0.0281	0.0167	-0.0161
GTEX-12WSM-0001-SM-5DWS1	GTEX-12WSM-0001-SM-5DWS1	-0.0218	0.0028	0.0204	-0.0322	0.0090	0.0201	0.0061	-0.0521	-0.0186	-0.0321	0.0160	0.0254	-0.0138	0.0181	-0.0038	0.0202	0.0268	-0.0077	0.0181	-0.0023
GTEX-12WSN-0004-SM-5DWRZ	GTEX-12WSN-0004-SM-5DWRZ	-0.0221	-0.0038	0.0196	-0.0231	0.0119	-0.0203	-0.0284	-0.0475	-0.0133	-0.0259	0.0210	-0.0122	0.0128	-0.0361	-0.0224	-0.0115	-0.0158	0.0256	-0.0029	-0.0106
GTEX-12ZZW-0003-SM-5DWRO	GTEX-12ZZW-0003-SM-5DWRO	-0.0205	0.0097	-0.0138	-0.0094	-0.0018	0.0063	-0.0084	-0.0154	0.0280	-0.0143	0.0158	0.0358	0.0795	-0.0174	-0.0164	0.0243	-0.0081	-0.0317	0.0602	0.0301
GTEX-12ZZX-0001-SM-5DWRR	GTEX-12ZZX-0001-SM-5DWRR	-0.0106	-0.1344	0.0568	-0.1124	0.1277	0.1413	-0.0110	0.0311	0.0137	0.0082	0.0246	-0.0022	0.0507	0.0139	0.0202	-0.0306	0.0677	-0.0527	0.0639	-0.0226
GTEX-12ZZY-0004-SM-5DWRV	GTEX-12ZZY-0004-SM-5DWRV	-0.0202	0.0031	0.0019	0.0523	0.0343	-0.0082	0.0132	0.0459	-0.0073	-0.0125	-0.0330	0.0075	0.0103	0.0501	0.0100	-0.0055	0.0699	-0.0210	0.0061	0.0360
GTEX-12ZZZ-0002-SM-5DWRU	GTEX-12ZZZ-0002-SM-5DWRU	-0.0215	0.0044	0.0231	-0.0171	-0.0255	-0.0287	-0.0056	-0.0218	0.0084	0.0488	0.0137	0.0393	-0.0437	-0.0027	-0.0363	-0.0111	0.0433	0.0381	0.0036	-0.0187
GTEX-13CF2-0004-SM-5HJPZ	GTEX-13CF2-0004-SM-5HJPZ	-0.0202	-0.0159	-0.0134	0.0049	0.0085	0.0191	-0.0211	-0.0070	-0.0240	-0.0153	0.0098	-0.0051	0.0037	-0.0173	-0.0125	-0.0015	-0.0056	0.0845	0.0239	0.0325
GTEX-13CF3-0004-SM-5HJRC	GTEX-13CF3-0004-SM-5HJRC	-0.0226	0.0065	0.0519	0.1330	0.0856	-0.0028	-0.0323	0.0063	-0.0085	0.0338	0.0588	0.0179	-0.0006	-0.0255	-0.0291	0.0043	0.0511	0.0107	0.0460	0.0491
GTEX-13CIG-0004-SM-5HJRO	GTEX-13CIG-0004-SM-5HJRO	-0.0222	0.0120	0.0327	-0.0376	-0.0013	-0.0030	-0.0110	0.0188	-0.0224	0.0035	-0.0360	-0.0119	-0.0170	-0.0118	0.0070	0.0013	0.0491	0.0103	-0.0274	0.0146
GTEX-13CZU-0003-SM-5HJRM_1	GTEX-13CZU-0003-SM-5HJRM_1	-0.0220	0.0115	0.0179	-0.0395	0.0137	0.0165	-0.0393	0.0025	0.0086	0.0267	-0.0028	-0.0022	-0.0075	-0.0180	0.0257	-0.0332	-0.0133	-0.0009	-0.0191	-0.0503
GTEX-13CZV-0003-SM-5HJPB	GTEX-13CZV-0003-SM-5HJPB	-0.0211	0.0050	-0.0018	0.0262	0.0221	0.0026	-0.0460	-0.0071	-0.0202	-0.0080	-0.0599	-0.0356	-0.0257	-0.0279	0.0218	-0.0275	-0.0204	0.0044	-0.0395	-0.0035
GTEX-13D11-0003-SM-5HJQR	GTEX-13D11-0003-SM-5HJQR	-0.0200	0.0061	0.0147	-0.0005	-0.0024	0.0316	0.0103	-0.0079	0.0724	-0.0069	-0.0040	-0.0181	0.0303	-0.0074	0.0017	-0.0080	0.0225	0.0101	-0.0384	-0.0213
GTEX-13FH7-0004-SM-5HJPL	GTEX-13FH7-0004-SM-5HJPL	-0.0218	0.0003	-0.0110	0.0128	-0.0213	0.0315	-0.0178	-0.0008	0.0114	0.0031	-0.0292	0.0039	-0.0251	-0.0118	-0.0255	-0.0502	-0.0038	-0.0390	0.0305	0.0072
GTEX-13FHO-0003-SM-5HJQE	GTEX-13FHO-0003-SM-5HJQE	-0.0203	0.0058	-0.0108	-0.0276	-0.0069	-0.0060	0.0018	-0.0082	0.0194	-0.0075	0.0300	0.0372	-0.0332	-0.0206	-0.0023	-0.0065	0.0426	0.0454	-0.0081	-0.0135
GTEX-13FHP-0004-SM-5HJPM	GTEX-13FHP-0004-SM-5HJPM	0.1121	0.0147	0.0156	-0.0319	-0.0795	0.0046	-0.0234	-0.1381	-0.1781	0.0635	0.1314	-0.0919	0.2064	0.0285	-0.0364	-0.1524	0.0582	-0.0896	0.0138	0.0320
GTEX-13FLV-0004-SM-5HJRE	GTEX-13FLV-0004-SM-5HJRE	-0.0215	0.0049	-0.0185	0.0183	-0.0330	-0.0108	-0.0237	0.0291	0.0469	0.0218	-0.0025	0.0410	-0.0257	-0.0290	-0.0149	0.0271	-0.0070	0.0167	-0.0222	-0.0850
GTEX-13FLW-0003-SM-5HJRA	GTEX-13FLW-0003-SM-5HJRA	0.1074	0.0195	0.0035	-0.0350	0.0616	-0.0733	0.3190	-0.0012	0.0607	-0.0347	0.0056	0.2084	-0.0558	-0.1756	-0.1815	-0.0908	0.0089	0.3459	-0.1098	0.0150
GTEX-13FTW-0003-SM-5HJRT	GTEX-13FTW-0003-SM-5HJRT	-0.0175	0.0022	-0.0958	0.0195	-0.0330	-0.0410	0.0070	0.0260	-0.0341	-0.0412	0.0002	0.0166	0.0270	0.0396	-0.0207	0.0553	0.0233	0.0048	0.0909	-0.0635
GTEX-13FTX-0004-SM-5HJQL	GTEX-13FTX-0004-SM-5HJQL	-0.0220	0.0103	-0.0006	-0.0251	-0.0247	-0.0392	-0.0372	-0.0033	0.0548	0.0049	-0.0451	0.0338	0.0365	-0.0534	-0.0228	0.0027	0.0103	0.0394	0.0151	-0.0418
GTEX-13FTY-0004-SM-5HJQG	GTEX-13FTY-0004-SM-5HJQG	-0.0216	0.0010	-0.0046	-0.0105	-0.0235	-0.0161	0.0089	0.0599	-0.0123	0.0055	0.0277	-0.0273	-0.0299	0.0132	0.0247	0.0029	0.0104	-0.0424	-0.0578	0.0630
GTEX-13FTZ-0004-SM-5HJPA	GTEX-13FTZ-0004-SM-5HJPA	-0.0197	0.0028	0.0047	-0.0192	-0.0371	0.0237	0.0262	0.0266	-0.0530	0.0034	-0.0428	-0.0020	-0.0147	0.0401	-0.0061	0.0104	-0.0173	0.0135	-0.0221	-0.0350
GTEX-13FXS-0004-SM-5HJPR	GTEX-13FXS-0004-SM-5HJPR	0.1214	0.0019	0.0088	0.0194	0.1161	-0.0628	0.0249	0.0327	-0.0963	-0.1638	-0.0625	-0.0635	0.0189	0.1585	-0.0503	0.0079	-0.0158	-0.0050	0.1190	-0.0099
GTEX-13G51-0004-SM-5HJPG	GTEX-13G51-0004-SM-5HJPG	-0.0212	0.0025	-0.0080	0.0012	0.0217	0.0208	-0.0040	0.0178	-0.0052	-0.0266	0.0598	0.0460	0.0117	0.0233	0.0325	0.0099	-0.0391	-0.0203	-0.0190	-0.0082
GTEX-13IVO-0004-SM-5HJQQ	GTEX-13IVO-0004-SM-5HJQQ	-0.0232	0.0001	0.0726	0.1395	0.0733	0.0740	-0.0210	0.0048	-0.0265	0.0091	0.0231	-0.0064	0.0014	0.0078	-0.0041	0.0121	0.0301	-0.0102	0.0498	0.0084
GTEX-13JUV-0001-SM-5HJPQ	GTEX-13JUV-0001-SM-5HJPQ	0.1161	-0.0059	0.0124	0.0046	0.0167	0.0452	0.0732	0.0809	0.0216	-0.0519	-0.0711	-0.0263	-0.0114	-0.0159	-0.0341	0.0588	0.1501	0.0239	-0.0985	-0.0054
GTEX-13JVG-0003-SM-5HJQ2	GTEX-13JVG-0003-SM-5HJQ2	-0.0206	0.0065	0.0380	-0.0269	-0.0339	-0.0037	-0.0152	0.0072	-0.0114	-0.0014	-0.0221	-0.0090	-0.0022	0.0210	0.0244	-0.0116	0.0316	0.0261	-0.0055	-0.0219
GTEX-13N1W-0002-SM-5HJR2	GTEX-13N1W-0002-SM-5HJR2	-0.0207	0.0032	-0.0158	0.0672	0.0461	0.0245	-0.0189	0.0399	0.0041	0.0291	0.0243	-0.0036	0.0006	0.0109	-0.0338	0.0273	-0.0495	0.0383	-0.0145	0.0417
GTEX-13N2G-0001-SM-5HJQA	GTEX-13N2G-0001-SM-5HJQA	-0.0210	0.0131	0.0098	-0.0216	0.0012	-0.0117	0.0037	0.0085	0.0238	0.0384	0.0181	-0.0088	-0.0119	0.0015	-0.0034	-0.0050	0.0236	0.0434	0.0262	-0.0261
GTEX-13N11-0003-SM-5HJQF	GTEX-13N11-0003-SM-5HJQF	0.1151	0.0024	-0.0016	-0.0327	0.1017	0.0104	-0.0571	-0.0828	-0.0497	0.0703	0.0401	-0.0315	0.1810	-0.2162	-0.0014	0.1303	-0.0348	0.0020	0.0293	-0.0054
GTEX-13NYB-0004-SM-5HJQP	GTEX-13NYB-0004-SM-5HJQP	0.1132	0.0132	0.0099	-0.0338	0.0036	-0.0709	0.1566	0.0351	0.0087	-0.0102	-0.1339	0.0909	-0.0118	0.0141	0.0014	0.0463	-0.0594	-0.0728	0.0884	0.0540
GTEX-13NYC-0004-SM-5HJQD	GTEX-13NYC-0004-SM-5HJQD	-0.0197	0.0002	-0.0680	-0.0244	-0.0156	0.0373	-0.0249	-0.0413	-0.0143	-0.0281	0.0130	0.0392	-0.0103	-0.0346	0.0345	-0.0275	0.0010	0.0565	0.0149	0.0349
GTEX-13NYS-0003-SM-5HJPP	GTEX-13NYS-0003-SM-5HJPP	-0.0216	0.0080	0.0565	0.0190	-0.0028	-0.0161	-0.0330	-0.0052	-0.0083	-0.0173	0.0234	-0.0259	0.0082	0.0003	-0.0220	-0.0215	0.0367	0.0204	0.0316	-0.0083
GTEX-13NZ8-0004-SM-5HJPC	GTEX-13NZ8-0004-SM-5HJPC	-0.0215	0.0001	0.0263	0.0696	0.0446	0.0209	0.0280	-0.0115	0.0191	0.0351	0.0404	-0.0255	-0.0143	0.0139	0.0448	0.0223	-0.0281	0.0076	0.0066	-0.0053
GTEX-13NZA-0003-SM-5HJQ4	GTEX-13NZA-0003-SM-5HJQ4	-0.0218	0.0061	0.0394	-0.0302	-0.0308	-0.0261	0.0042	-0.0003	-0.0113	-0.0361	-0.0010	0.0023	-0.0229	0.0285	-0.0178	0.0086	-0.0284	-0.0134	-0.0370	-0.0063
GTEX-13NZB-0004-SM-5HJRG	GTEX-13NZB-0004-SM-5HJRG	-0.0214	0.0079	0.0154	-0.0094	-0.0327	0.0330	0.0184	0.0364	-0.0325	0.0114	-0.0300	-0.0168	-0.0006	0.0270	-0.0061	0.0130	-0.0397	0.0679	0.0347	0.0087
GTEX-13O1R-0002-SM-5HJP9	GTEX-13O1R-0002-SM-5HJP9	-0.0205	0.0106	-0.0143	-0.0091	0.0027	0.0279	-0.0059	-0.0021	0.0150	0.0278	0.0215	-0.0373	-0.0006	-0.0107	-0.0053	-0.0492	-0.0256	0.0368	-0.0444	-0.0445
GTEX-13O3O-0003-SM-5HJQ9_1	GTEX-13O3O-0003-SM-5HJQ9_1	-0.0217	0.0055	-0.0040	0.0213	-0.0049	0.0142	0.0147	-0.0084	-0.0271	-0.0265	0.0671	0.0199	-0.0481	-0.0180	0.0133	0.0305	-0.0180	-0.0323	0.0422	-0.0135
GTEX-13O3P-0003-SM-5HJPJ	GTEX-13O3P-0003-SM-5HJPJ	-0.0217	0.0042	0.0436	-0.0623	-0.0242	-0.0464	0.0090	0.0367	0.0172	0.0077	0.0239	0.0882	0.0356	-0.0129	0.0131	-0.0566	-0.0407	-0.0281	0.0014	-0.0128
GTEX-13O3Q-0003-SM-5HJQV	GTEX-13O3Q-0003-SM-5HJQV	-0.0215	-0.0014	0.0251	-0.0139	-0.0132	-0.0141	0.0317	0.0114	0.0233	0.0117	0.0401	0.0069	-0.0001	-0.0043	0.0270	-0.0054	-0.0217	-0.0375	0.0177	-0.0005
GTEX-13O21-0003-SM-5HJPF	GTEX-13O21-0003-SM-5HJPF	-0.0214	0.0086	-0.0062	-0.0278	-0.0114	0.0037	-0.0472	0.0349	-0.0022	-0.0122	-0.0156	-0.0089	0.0114	-0.0141	0.0067	-0.0134	-0.0007	0.0338	0.0189	-0.0352
GTEX-13O61-0003-SM-5HJRK	GTEX-13O61-0003-SM-5HJRK	0.0271	-0.0949	-0.0521	-0.1551	0.1247	0.0942	-0.0163	0.0050	-0.0089	-0.0055	0.0020	0.0037	0.0058	0.0130	-0.0282	0.1446	0.0992	-0.1232	0.0100	0.1011
GTEX-13OVG-0003-SM-5HJR9	GTEX-13OVG-0003-SM-5HJR9	-0.0221	0.0098	-0.0114	-0.0146	-0.0426	0.0141	-0.0228	0.0131	-0.0192	-0.0046	-0.0010	-0.0021	0.0671	-0.0166	0.0222	-0.0370	-0.0408	0.0081	0.0155	-0.0225
GTEX-13OVH-0003-SM-5HJPW_1	GTEX-13OVH-0003-SM-5HJPW_1	-0.0223	-0.0025	0.0460	0.0081	-0.0172	-0.0154	0.0257	-0.0115	0.0058	0.0048	0.0190	-0.0153	-0.0313	-0.0309	-0.0432	-0.0157	0.0337	-0.0437	0.0341	-0.0241
GTEX-13OVI-0003-SM-5HJQK	GTEX-13OVI-0003-SM-5HJQK	0.1081	0.0146	-0.0075	-0.0221	0.0272	0.1625	0.0460	-0.0829	0.1389	0.0121	-0.0515	-0.1297	0.1588	0.1506	-0.0803	-0.0780	-0.0357	0.0032	-0.0345	0.0965
GTEX-13OVJ-0001-SM-5HJR8	GTEX-13OVJ-0001-SM-5HJR8	-0.0208	0.0084	0.0002	-0.0388	-0.0166	-0.0147	-0.0286	0.0170	0.0083	0.0260	0.0332	0.0414	0.0212	-0.0588	0.0406	-0.0226	0.0388	-0.0404	0.0172	0.0186
GTEX-13OVK-0001-SM-5HJQJ	GTEX-13OVK-0001-SM-5HJQJ	-0.0196	-0.0034	-0.0146	0.0407	0.0306	0.0098	-0.0101	-0.0332	-0.0019	-0.0060	0.0012	0.0576	-0.0245	0.0148	-0.0376	0.0035	-0.0189	0.0389	-0.0540	0.0277
GTEX-13OVL-0003-SM-5HJRX	GTEX-13OVL-0003-SM-5HJRX	-0.0220	0.0121	0.0288	-0.0022	-0.0376	-0.0404	0.0221	0.0059	0.0320	0.0271	0.0306	-0.0091	-0.0075	0.0469	0.0276	-0.0226	-0.0627	0.0188	0.0160	-0.0039
GTEX-13OW5-0003-SM-5HJQ7	GTEX-13OW5-0003-SM-5HJQ7	-0.0210	0.0146	0.0099	0.0066	0.0026	0.0045	-0.0059	-0.0010	0.0260	0.0300	-0.0034	-0.0168	0.0159	-0.0356	-0.0300	0.0156	-0.0275	0.0280	-0.0172	-0.0165
GTEX-13OW6-0002-SM-5HJPU	GTEX-13OW6-0002-SM-5HJPU	-0.0217	0.0138	0.0268	-0.0085	-0.0239	-0.0056	-0.0071	0.0072	0.0048	0.0231	0.0446	0.0332	-0.0317	-0.0325	-0.0381	0.0425	-0.0356	-0.0071	0.0114	0.0103
GTEX-13OW7-0001-SM-5HJRV	GTEX-13OW7-0001-SM-5HJRV	-0.0219	0.0063	0.0337	-0.0360	-0.0746	-0.0163	-0.0127	-0.0350	0.0015	-0.0281	-0.0556	0.0330	-0.0196	0.0062	-0.0164	0.0043	0.0190	-0.0159	-0.0157	0.0059
GTEX-13OW8-0002-SM-5HJQX_1	GTEX-13OW8-0002-SM-5HJQX_1	-0.0207	0.0041	-0.0118	-0.0260	-0.0157	-0.0055	0.0054	0.0218	-0.0373	0.0361	0.0371	0.0129	-0.0383	0.0230	-0.0197	-0.0219	-0.0287	0.0230	-0.0677	-0.0002
GTEX-13PL6-0002-SM-5HJPV	GTEX-13PL6-0002-SM-5HJPV	-0.0066	-0.0579	-0.0222	-0.0763	0.0507	0.0199	-0.0043	-0.0494	0.0295	0.0155	0.0058	0.0227	-0.0193	0.0254	0.0283	-0.0958	-0.0353	-0.0470	0.0666	-0.0435
GTEX-13PL7-0003-SM-5HJRW	GTEX-13PL7-0003-SM-5HJRW	-0.0224	-0.0014	0.0520	0.1178	0.0865	-0.0021	-0.0034	-0.0089	0.0140	-0.0052	-0.0382	0.0259	0.0075	-0.0090	0.0206	-0.0051	0.0162	0.0027	0.0473	0.0210
GTEX-13PLJ-0003-SM-5HJPK	GTEX-13PLJ-0003-SM-5HJPK	-0.0234	0.0135	0.0282	-0.0505	-0.0509	0.0054	-0.0166	0.0035	-0.0008	-0.0504	-0.0107	0.0022	-0.0010	-0.0091	-0.0352	0.0120	0.0398	0.0056	0.0111	-0.0274
GTEX-13QBU-0003-SM-5HJRN_1	GTEX-13QBU-0003-SM-5HJRN_1	-0.0219	0.0039	-0.0153	0.0078	-0.0254	-0.0307	0.0190	0.0127	-0.0319	-0.0097	-0.0180	-0.0161	0.0342	0.0163	0.0262	0.0476	0.0381	0.0216	0.0378	0.0273
GTEX-13QIC-0004-SM-5HJR4	GTEX-13QIC-0004-SM-5HJR4	-0.0173	-0.0043	-0.0631	0.0908	0.0415	0.0079	0.0024	0.0408	0.0111	0.0120	-0.0622	-0.0206	-0.0462	0.0035	-0.0074	0.0054	0.0394	0.0064	0.0248	-0.0266
GTEX-13QJ3-0002-SM-5HJRS_1	GTEX-13QJ3-0002-SM-5HJRS_1	-0.0185	0.0078	0.0055	-0.0305	0.0027	-0.0316	-0.0106	0.0418	-0.0034	0.0120	0.0260	0.0097	-0.0336	-0.0309	-0.0261	-0.0178	-0.0316	0.0504	0.0069	0.0212
GTEX-13QJC-0003-SM-5HJQ8	GTEX-13QJC-0003-SM-5HJQ8	-0.0200	0.0045	-0.0257	-0.0149	-0.0054	0.0196	0.0150	-0.0059	-0.0053	-0.0238	-0.0189	-0.0413	0.0002	-0.0100	0.0076	0.0538	0.0529	-0.0437	0.0357	0.0183
GTEX-13RTJ-0003-SM-5HJQ6	GTEX-13RTJ-0003-SM-5HJQ6	-0.0216	-0.0003	0.0219	0.0347	0.0125	-0.0411	-0.0212	-0.0001	0.0141	-0.0017	-0.0006	0.0385	0.0143	-0.0006	-0.0068	-0.0045	0.0244	-0.0434	0.0147	0.0128
GTEX-13RTK-0003-SM-5HJRF	GTEX-13RTK-0003-SM-5HJRF	-0.0182	-0.0124	0.0321	0.0363	0.0534	0.0171	0.0077	0.0156	-0.0082	-0.0132	0.0378	-0.0045	0.0067	0.0339	0.0086	-0.0278	-0.0551	-0.0316	-0.0131	-0.0090
GTEX-13S7M-0003-SM-5HJRR	GTEX-13S7M-0003-SM-5HJRR	-0.0217	-0.0110	0.0431	0.1633	0.0580	0.0232	-0.0020	-0.0210	0.0088	0.0128	0.0244	0.0397	0.0339	0.0071	-0.0620	0.0148	0.0224	-0.0098	-0.0024	0.0139
GTEX-13S86-0003-SM-5HJPD	GTEX-13S86-0003-SM-5HJPD	-0.0213	0.0014	0.0094	-0.0088	0.0080	-0.0222	0.0178	-0.0103	0.0052	-0.0010	-0.0044	-0.0268	0.0196	0.0027	0.0238	0.0069	-0.0320	-0.0147	0.0267	0.0133
GTEX-13SLW-0003-SM-5HJRH	GTEX-13SLW-0003-SM-5HJRH	-0.0200	0.0109	-0.0128	0.0209	0.0254	-0.0326	-0.0034	-0.0109	0.0198	0.0006	0.0577	-0.0139	0.0310	-0.0209	0.0450	0.0212	0.0152	0.0458	0.0282	-0.0264
GTEX-13SLX-0003-SM-5HJPY	GTEX-13SLX-0003-SM-5HJPY	0.1041	0.0063	0.0340	0.0649	-0.0992	0.0397	0.0349	0.1842	-0.0536	0.0433	-0.0046	-0.0210	0.2530	0.0012	0.0336	-0.0713	-0.0802	0.0903	0.0414	0.0230
GTEX-13U4I-0004-SM-5HJPX	GTEX-13U4I-0004-SM-5HJPX	-0.0222	0.0073	0.0084	-0.0101	0.0166	0.0002	0.0148	-0.0160	0.0262	0.0297	0.0318	0.0272	-0.0227	-0.0185	-0.0303	0.0365	0.0030	0.0397	0.0332	-0.0112
GTEX-13VXT-0003-SM-5HJR7	GTEX-13VXT-0003-SM-5HJR7	0.1053	0.0097	-0.0115	0.0076	0.0707	-0.0279	0.2313	-0.0846	0.0179	0.1632	0.0328	-0.0945	-0.0737	-0.0199	0.1357	-0.0039	-0.0385	-0.0773	-0.1036	0.0861
GTEX-13VXU-0004-SM-5HJQS	GTEX-13VXU-0004-SM-5HJQS	-0.0199	0.0043	0.0196	-0.0030	-0.0065	-0.0383	-0.0122	-0.0061	0.0046	0.0063	-0.0097	-0.0105	-0.0305	0.0441	0.0098	0.0585	-0.0221	0.0409	-0.0566	0.0107
GTEX-13W3W-0004-SM-5HJPI	GTEX-13W3W-0004-SM-5HJPI	-0.0216	0.0099	0.0033	-0.0239	-0.0150	-0.0453	-0.0160	-0.0318	0.0184	-0.0013	0.0462	-0.0180	0.0547	-0.0048	-0.0167	0.0227	0.0038	0.0106	0.0109	-0.0005
GTEX-13W46-0003-SM-5HJPN	GTEX-13W46-0003-SM-5HJPN	-0.0202	-0.0056	0.0210	-0.0226	-0.0020	-0.0277	-0.0090	-0.0207	0.0018	0.0274	0.0134	0.0435	0.0643	-0.0257	0.0126	0.0028	-0.0035	0.0019	-0.0150	-0.0596
GTEX-13X6H-0001-SM-5HJR3	GTEX-13X6H-0001-SM-5HJR3	-0.0209	0.0166	0.0271	-0.0123	-0.0358	0.0036	0.0112	0.0057	0.0275	-0.0323	0.0213	0.0143	0.0243	0.0079	-0.0009	-0.0342	0.0162	-0.0144	0.0161	-0.0464
GTEX-13X6I-0002-SM-5HJQC	GTEX-13X6I-0002-SM-5HJQC	-0.0219	0.0148	0.0204	-0.0324	-0.0553	-0.0177	-0.0117	0.0036	0.0094	-0.0082	-0.0257	-0.0039	-0.0115	-0.0081	0.0116	-0.0020	0.0278	0.0063	0.0027	0.0314
GTEX-13X6J-0002-SM-5HJRQ_1	GTEX-13X6J-0002-SM-5HJRQ_1	-0.0159	-0.0036	-0.1116	0.0141	0.0084	0.0007	0.0156	0.0173	0.0064	-0.0225	0.0111	0.0666	0.0353	0.0151	0.0117	-0.0183	0.0224	-0.0262	0.0475	-0.0583
GTEX-13X6K-0003-SM-5HJPO	GTEX-13X6K-0003-SM-5HJPO	-0.0213	0.0113	0.0205	-0.0111	-0.0310	0.0067	-0.0372	0.0175	-0.0316	-0.0014	-0.0501	0.0150	0.0356	-0.0129	-0.0067	-0.0339	0.0078	-0.0194	-0.0022	-0.0389
GTEX-111CU-0003-SM-5DWTR	GTEX-111CU-0003-SM-5DWTR	-0.0180	0.0010	0.0060	-0.0192	-0.0175	0.0398	-0.0275	0.0127	-0.0236	0.0149	-0.0042	0.0381	-0.0094	0.0650	0.0721	-0.0542	-0.0159	0.0683	-0.0167	0.0119
GTEX-111FC-0001-SM-5DWSO	GTEX-111FC-0001-SM-5DWSO	-0.0156	0.0168	0.0100	-0.0535	-0.0351	0.0014	0.0090	0.0425	0.0197	-0.0233	0.0168	-0.0508	0.0221	0.0301	-0.0052	-0.0318	0.0172	-0.0621	-0.0068	-0.0430
GTEX-111VG-0004-SM-5DWSX	GTEX-111VG-0004-SM-5DWSX	-0.0197	0.0108	0.0041	0.0213	0.0415	-0.0135	-0.0378	0.0140	-0.0262	-0.0138	-0.0339	-0.0014	0.0281	-0.0037	-0.0120	-0.0298	0.0312	0.0127	0.0095	-0.0413
GTEX-111YS-0004-SM-5DWSS	GTEX-111YS-0004-SM-5DWSS	-0.0215	0.0130	0.0081	0.0051	-0.0061	0.0133	0.0316	-0.0262	-0.0086	-0.0314	0.0164	0.0059	-0.0055	0.0115	-0.0070	0.0298	-0.0340	0.0129	-0.0003	0.0142
GTEX-113IC-0001-SM-5DWSI	GTEX-113IC-0001-SM-5DWSI	0.0878	-0.0079	0.0133	-0.0507	0.1615	-0.1503	0.1901	0.1317	-0.0417	-0.1075	-0.0701	-0.0297	-0.0249	-0.2074	0.2609	-0.0385	-0.0039	-0.1903	0.0949	-0.1353
GTEX-113JC-0001-SM-5DWSH	GTEX-113JC-0001-SM-5DWSH	-0.0152	-0.0058	-0.0100	-0.0997	0.0445	0.0230	0.0522	0.0213	0.0097	0.0016	-0.0054	0.0092	-0.0072	-0.0319	0.0372	-0.0318	0.0383	0.0202	0.0209	0.0240
GTEX-117XS-0001-SM-5DWSE	GTEX-117XS-0001-SM-5DWSE	-0.0206	0.0011	-0.0233	0.0040	-0.0192	0.0105	-0.0296	-0.0143	0.0181	-0.0040	-0.0144	-0.0043	0.0020	0.0554	0.0039	-0.0186	-0.0428	0.0124	-0.0267	0.0174
GTEX-117YW-0003-SM-5DWRD	GTEX-117YW-0003-SM-5DWRD	-0.0166	-0.0019	-0.1010	0.0299	-0.0321	-0.0165	0.0068	0.0581	0.0128	0.0054	0.0057	0.0433	0.0194	-0.0291	-0.0753	-0.0283	-0.0321	-0.0226	-0.0043	0.0399
GTEX-133LE-0001-SM-5DWRY	GTEX-133LE-0001-SM-5DWRY	-0.0200	-0.0171	0.0196	-0.0087	0.0027	0.0271	-0.0056	-0.0091	0.0301	-0.0530	-0.0221	0.0140	-0.0003	0.0488	0.0373	-0.0146	-0.0369	0.0412	0.0084	-0.0040
GTEX-139T6-0004-SM-5HJQN	GTEX-139T6-0004-SM-5HJQN	-0.0193	0.0081	-0.0109	-0.0524	-0.0151	-0.0106	-0.0125	-0.0230	0.0061	-0.0121	-0.0062	0.0211	-0.0537	-0.0296	0.0042	-0.0102	0.0102	0.0028	0.0260	-0.0345
GTEX-139T8-0004-SM-5HJPE	GTEX-139T8-0004-SM-5HJPE	-0.0220	0.0088	0.0010	-0.0521	-0.0507	-0.0051	0.0112	0.0076	-0.0184	-0.0372	0.0051	-0.0237	0.0008	-0.0030	-0.0304	0.0080	-0.0351	0.0275	-0.0163	0.0512
GTEX-139TS-0003-SM-5HJR1	GTEX-139TS-0003-SM-5HJR1	-0.0208	0.0033	0.0252	-0.0001	-0.0151	0.0120	-0.0525	0.0211	0.0166	0.0025	0.0168	0.0040	-0.0161	0.0069	0.0828	0.0024	-0.0673	0.0001	-0.0015	0.0149
