"C1"	"C2"	"C3"
"GTEX.13O1R"	-0.0205	0.0106	-0.0143
"GTEX.13O3O"	-0.0217	0.0055	-0.004
"GTEX.13O3P"	-0.0217	0.0042	0.0436
"GTEX.13O3Q"	-0.0215	-0.0014	0.0251
"GTEX.13O21"	-0.0214	0.0086	-0.0062
"GTEX.13O61"	0.0271	-0.0949	-0.0521
"GTEX.13OVG"	-0.0221	0.0098	-0.0114
"GTEX.13OVH"	-0.0223	-0.0025	0.046
"GTEX.13OVI"	0.1081	0.0146	-0.0075
"GTEX.13OVJ"	-0.0208	0.0084	2e-04
"GTEX.13OVK"	-0.0196	-0.0034	-0.0146
"GTEX.13OVL"	-0.022	0.0121	0.0288
"GTEX.13OW5"	-0.021	0.0146	0.0099
"GTEX.13OW6"	-0.0217	0.0138	0.0268
"GTEX.13OW7"	-0.0219	0.0063	0.0337
"GTEX.13OW8"	-0.0207	0.0041	-0.0118
"GTEX.13PL6"	-0.0066	-0.0579	-0.0222
"GTEX.13PL7"	-0.0224	-0.0014	0.052
"GTEX.13PLJ"	-0.0234	0.0135	0.0282
"GTEX.13QBU"	-0.0219	0.0039	-0.0153
"GTEX.13QIC"	-0.0173	-0.0043	-0.0631
"GTEX.13QJ3"	-0.0185	0.0078	0.0055
"GTEX.13QJC"	-0.02	0.0045	-0.0257
"GTEX.13RTJ"	-0.0216	-3e-04	0.0219
"GTEX.13RTK"	-0.0182	-0.0124	0.0321
"GTEX.13S7M"	-0.0217	-0.011	0.0431
"GTEX.13S86"	-0.0213	0.0014	0.0094
"GTEX.13SLW"	-0.02	0.0109	-0.0128
"GTEX.13SLX"	0.1041	0.0063	0.034
"GTEX.13U4I"	-0.0222	0.0073	0.0084
"GTEX.13VXT"	0.1053	0.0097	-0.0115
"GTEX.13VXU"	-0.0199	0.0043	0.0196
"GTEX.13W3W"	-0.0216	0.0099	0.0033
"GTEX.13W46"	-0.0202	-0.0056	0.021
"GTEX.13X6H"	-0.0209	0.0166	0.0271
"GTEX.13X6I"	-0.0219	0.0148	0.0204
"GTEX.13X6J"	-0.0159	-0.0036	-0.1116
"GTEX.13X6K"	-0.0213	0.0113	0.0205
"GTEX.111CU"	-0.018	0.001	0.006
"GTEX.111FC"	-0.0156	0.0168	0.01
"GTEX.111VG"	-0.0197	0.0108	0.0041
"GTEX.111YS"	-0.0215	0.013	0.0081
"GTEX.113IC"	0.0878	-0.0079	0.0133
"GTEX.113JC"	-0.0152	-0.0058	-0.01
"GTEX.117XS"	-0.0206	0.0011	-0.0233
"GTEX.117YW"	-0.0166	-0.0019	-0.101
"GTEX.133LE"	-0.02	-0.0171	0.0196
"GTEX.139T6"	-0.0193	0.0081	-0.0109
"GTEX.139T8"	-0.022	0.0088	0.001
"GTEX.139TS"	-0.0208	0.0033	0.0252
"GTEX.139TT"	-0.0217	0.0158	0.0121
"GTEX.139TU"	-0.0142	-0.0085	-0.158
"GTEX.139UW"	-0.0216	0.009	0.0115
"GTEX.139YR"	-0.0228	0.0087	0.0426
"GTEX.145MF"	-0.0199	0.0085	-0.0074
"GTEX.145MG"	0.1106	0.0052	0.0076
"GTEX.145MH"	-0.0201	-0.0052	-0.0222
"GTEX.145MO"	-0.0204	0.005	0.0127
"GTEX.1117F"	0.108	0.0121	0.0032
"GTEX.1122O"	-0.0205	0.0164	0.0178
