Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
ENSG00000057657.13-ENSG00000184270.4	ENSG00000057657.13	ENSG00000184270.4	-0.742567483258	0.742567483258	lasso	1	1
ENSG00000056736.8-ENSG00000157514.15	ENSG00000056736.8	ENSG00000157514.15	-0.742181913214	0.742181913214	lasso	1	1
ENSG00000204516.8-ENSG00000133067.16	ENSG00000204516.8	ENSG00000133067.16	-0.735384883092	0.735384883092	lasso	1	1
ENSG00000167985.5-ENSG00000167600.12	ENSG00000167985.5	ENSG00000167600.12	0.730711627446	0.730711627446	lasso	1	1
ENSG00000241935.7-ENSG00000163283.6	ENSG00000241935.7	ENSG00000163283.6	-0.730144636168	0.730144636168	lasso	1	1
ENSG00000181649.5-ENSG00000115363.12	ENSG00000181649.5	ENSG00000115363.12	-0.729986328729	0.729986328729	lasso	1	1
ENSG00000129988.5-ENSG00000134531.8	ENSG00000129988.5	ENSG00000134531.8	0.729485584126	0.729485584126	lasso	1	1
ENSG00000157326.17-ENSG00000130513.6	ENSG00000157326.17	ENSG00000130513.6	-0.728062366594	0.728062366594	lasso	1	1
ENSG00000156398.11-ENSG00000095752.5	ENSG00000156398.11	ENSG00000095752.5	-0.725953271982	0.725953271982	lasso	1	1
ENSG00000160602.12-ENSG00000184270.4	ENSG00000160602.12	ENSG00000184270.4	0.72529902914	0.72529902914	lasso	1	1
ENSG00000183671.11-ENSG00000163283.6	ENSG00000183671.11	ENSG00000163283.6	0.72454828268	0.72454828268	lasso	1	1
ENSG00000197405.6-ENSG00000185432.11	ENSG00000197405.6	ENSG00000185432.11	0.724057554686	0.724057554686	lasso	1	1
ENSG00000146830.9-ENSG00000140379.7	ENSG00000146830.9	ENSG00000140379.7	0.722508404435	0.722508404435	lasso	1	1
ENSG00000189120.4-ENSG00000279483.1	ENSG00000189120.4	ENSG00000279483.1	0.722443024262	0.722443024262	lasso	1	1
ENSG00000170477.11-ENSG00000173262.10	ENSG00000170477.11	ENSG00000173262.10	0.721820024742	0.721820024742	lasso	1	1
ENSG00000091622.14-ENSG00000163993.6	ENSG00000091622.14	ENSG00000163993.6	0.719909833949	0.719909833949	lasso	1	1
ENSG00000170477.11-ENSG00000179046.7	ENSG00000170477.11	ENSG00000179046.7	-0.718924539638	0.718924539638	lasso	1	1
ENSG00000197696.8-ENSG00000134107.4	ENSG00000197696.8	ENSG00000134107.4	0.712186280505	0.712186280505	lasso	1	1
ENSG00000181649.5-ENSG00000183671.11	ENSG00000181649.5	ENSG00000183671.11	0.710077478082	0.710077478082	lasso	1	1
ENSG00000170477.11-ENSG00000168955.3	ENSG00000170477.11	ENSG00000168955.3	-0.709936810684	0.709936810684	lasso	1	1
ENSG00000107731.11-ENSG00000211448.10	ENSG00000107731.11	ENSG00000211448.10	-0.704360189987	0.704360189987	lasso	1	1
ENSG00000160781.14-ENSG00000095752.5	ENSG00000160781.14	ENSG00000095752.5	0.704199385315	0.704199385315	lasso	1	1
ENSG00000181649.5-ENSG00000185338.4	ENSG00000181649.5	ENSG00000185338.4	0.701129206353	0.701129206353	lasso	1	1
ENSG00000105379.8-ENSG00000166589.11	ENSG00000105379.8	ENSG00000166589.11	0.69989977344	0.69989977344	lasso	1	1
ENSG00000131018.21-ENSG00000197766.6	ENSG00000131018.21	ENSG00000197766.6	0.697803399383	0.697803399383	lasso	1	1
ENSG00000183671.11-ENSG00000181634.7	ENSG00000183671.11	ENSG00000181634.7	-0.696746843519	0.696746843519	lasso	1	1
ENSG00000132821.10-ENSG00000152086.8	ENSG00000132821.10	ENSG00000152086.8	0.69585345661	0.69585345661	lasso	1	1
ENSG00000101198.13-ENSG00000127129.8	ENSG00000101198.13	ENSG00000127129.8	-0.695326634286	0.695326634286	lasso	1	1
ENSG00000197405.6-ENSG00000137486.15	ENSG00000197405.6	ENSG00000137486.15	0.694928384783	0.694928384783	lasso	1	1
ENSG00000129988.5-ENSG00000125148.6	ENSG00000129988.5	ENSG00000125148.6	0.694439441402	0.694439441402	lasso	1	1
ENSG00000150347.13-ENSG00000138615.5	ENSG00000150347.13	ENSG00000138615.5	-0.693612773025	0.693612773025	lasso	1	1
ENSG00000204531.14-ENSG00000177606.6	ENSG00000204531.14	ENSG00000177606.6	-0.693428584723	0.693428584723	lasso	1	1
ENSG00000181649.5-ENSG00000145569.5	ENSG00000181649.5	ENSG00000145569.5	0.693324726837	0.693324726837	lasso	1	1
ENSG00000129988.5-ENSG00000166592.10	ENSG00000129988.5	ENSG00000166592.10	0.691778230863	0.691778230863	lasso	1	1
ENSG00000143127.11-ENSG00000274267.1	ENSG00000143127.11	ENSG00000274267.1	-0.691274165979	0.691274165979	lasso	1	1
ENSG00000170801.8-ENSG00000163739.4	ENSG00000170801.8	ENSG00000163739.4	-0.69105551957	0.69105551957	lasso	1	1
ENSG00000164743.4-ENSG00000129757.11	ENSG00000164743.4	ENSG00000129757.11	-0.690679812731	0.690679812731	lasso	1	1
ENSG00000160781.14-ENSG00000183671.11	ENSG00000160781.14	ENSG00000183671.11	-0.690266191768	0.690266191768	lasso	1	1
ENSG00000170477.11-ENSG00000100557.8	ENSG00000170477.11	ENSG00000100557.8	-0.689381260595	0.689381260595	lasso	1	1
ENSG00000181649.5-ENSG00000054179.10	ENSG00000181649.5	ENSG00000054179.10	0.688487654773	0.688487654773	lasso	1	1
ENSG00000164743.4-ENSG00000205420.9	ENSG00000164743.4	ENSG00000205420.9	-0.688118760659	0.688118760659	lasso	1	1
ENSG00000250571.5-ENSG00000013441.14	ENSG00000250571.5	ENSG00000013441.14	0.685009832474	0.685009832474	lasso	1	1
ENSG00000129988.5-ENSG00000167183.2	ENSG00000129988.5	ENSG00000167183.2	0.683851145313	0.683851145313	lasso	1	1
ENSG00000170477.11-ENSG00000183671.11	ENSG00000170477.11	ENSG00000183671.11	0.682931755096	0.682931755096	lasso	1	1
