Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2
ENSG00000167772.10-ENSG00000152086.8	ENSG00000167772.10	ENSG00000152086.8	lasso	2.0				0.31404711211	0.31404711211	2.0
ENSG00000125657.4-ENSG00000152086.8	ENSG00000125657.4	ENSG00000152086.8	lasso	2.0				-0.312894636861	0.312894636861	2.0
ENSG00000167772.10-ENSG00000141750.6	ENSG00000167772.10	ENSG00000141750.6	lasso	2.0				0.311917130719	0.311917130719	2.0
ENSG00000176222.8-ENSG00000274267.1	ENSG00000176222.8	ENSG00000274267.1	lasso	2.0				-0.309686474873	0.309686474873	2.0
ENSG00000156427.7-ENSG00000166592.10	ENSG00000156427.7	ENSG00000166592.10	lasso	2.0				-0.308757153409	0.308757153409	2.0
ENSG00000178150.7-ENSG00000129757.11	ENSG00000178150.7	ENSG00000129757.11	lasso	2.0				-0.305578840239	0.305578840239	2.0
ENSG00000204616.9-ENSG00000187193.8	ENSG00000204616.9	ENSG00000187193.8	lasso	2.0				0.305557965432	0.305557965432	2.0
ENSG00000178150.7-ENSG00000163283.6	ENSG00000178150.7	ENSG00000163283.6	lasso	2.0				-0.305065797267	0.305065797267	2.0
ENSG00000167772.10-ENSG00000120057.4	ENSG00000167772.10	ENSG00000120057.4	lasso	2.0				0.30456335517	0.30456335517	2.0
ENSG00000176222.8-ENSG00000184270.4	ENSG00000176222.8	ENSG00000184270.4	lasso	2.0				-0.302746900733	0.302746900733	2.0
ENSG00000173391.7-ENSG00000124575.6	ENSG00000173391.7	ENSG00000124575.6	lasso	2.0				0.302223793018	0.302223793018	2.0
ENSG00000173391.7-ENSG00000274267.1	ENSG00000173391.7	ENSG00000274267.1	lasso	2.0				0.301835553927	0.301835553927	2.0
ENSG00000125657.4-ENSG00000211448.10	ENSG00000125657.4	ENSG00000211448.10	lasso	2.0				0.299024726978	0.299024726978	2.0
ENSG00000173391.7-ENSG00000141750.6	ENSG00000173391.7	ENSG00000141750.6	lasso	2.0				0.297509795162	0.297509795162	2.0
ENSG00000140993.9-ENSG00000137463.4	ENSG00000140993.9	ENSG00000137463.4	lasso	2.0				-0.295075761582	0.295075761582	2.0
ENSG00000167772.10-ENSG00000148175.11	ENSG00000167772.10	ENSG00000148175.11	lasso	2.0				0.2933916881	0.2933916881	2.0
ENSG00000204616.9-ENSG00000145569.5	ENSG00000204616.9	ENSG00000145569.5	lasso	2.0				0.291796388231	0.291796388231	2.0
ENSG00000143320.7-ENSG00000166592.10	ENSG00000143320.7	ENSG00000166592.10	lasso	2.0				0.289199259532	0.289199259532	2.0
ENSG00000204616.9-ENSG00000189221.8	ENSG00000204616.9	ENSG00000189221.8	lasso	2.0				0.287887056843	0.287887056843	2.0
ENSG00000007255.9-ENSG00000187288.9	ENSG00000007255.9	ENSG00000187288.9	lasso	2.0				-0.287376013351	0.287376013351	2.0
ENSG00000167772.10-ENSG00000166165.11	ENSG00000167772.10	ENSG00000166165.11	lasso	2.0				0.286524263304	0.286524263304	2.0
ENSG00000007255.9-ENSG00000138615.5	ENSG00000007255.9	ENSG00000138615.5	lasso	2.0				-0.283621444503	0.283621444503	2.0
ENSG00000146250.6-ENSG00000151726.12	ENSG00000146250.6	ENSG00000151726.12	lasso	2.0				0.282190871475	0.282190871475	2.0
ENSG00000205177.6-ENSG00000183598.3	ENSG00000205177.6	ENSG00000183598.3	lasso	2.0				-0.281249673263	0.281249673263	2.0
ENSG00000278637.1-ENSG00000163283.6	ENSG00000278637.1	ENSG00000163283.6	lasso	2.0				0.278872031461	0.278872031461	2.0
ENSG00000178150.7-ENSG00000187193.8	ENSG00000178150.7	ENSG00000187193.8	lasso	2.0				-0.27868099194	0.27868099194	2.0
ENSG00000183598.3-ENSG00000158445.7	ENSG00000183598.3	ENSG00000158445.7	lasso	2.0				-0.27791585086	0.27791585086	2.0
ENSG00000278637.1-ENSG00000145569.5	ENSG00000278637.1	ENSG00000145569.5	lasso	2.0				0.277232000885	0.277232000885	2.0
ENSG00000167772.10-ENSG00000183578.5	ENSG00000167772.10	ENSG00000183578.5	lasso	2.0				0.276945316917	0.276945316917	2.0
ENSG00000167772.10-ENSG00000107159.11	ENSG00000167772.10	ENSG00000107159.11	lasso	2.0				0.276439102137	0.276439102137	2.0
ENSG00000167772.10-ENSG00000146250.6	ENSG00000167772.10	ENSG00000146250.6	lasso	2.0				-0.275625772527	0.275625772527	2.0
ENSG00000167772.10-ENSG00000057294.12	ENSG00000167772.10	ENSG00000057294.12	lasso	2.0				0.270781209078	0.270781209078	2.0
ENSG00000167772.10-ENSG00000095752.5	ENSG00000167772.10	ENSG00000095752.5	lasso	2.0				-0.270567400701	0.270567400701	2.0
ENSG00000167772.10-ENSG00000119138.4	ENSG00000167772.10	ENSG00000119138.4	lasso	2.0				0.270302585889	0.270302585889	2.0
ENSG00000278637.1-ENSG00000129757.11	ENSG00000278637.1	ENSG00000129757.11	lasso	2.0				0.269858746718	0.269858746718	2.0
